Time         PitchSensor   RollSensor  AzimuthSensor   PitchKalman   RollKalman  AzimuthKalman   PitchIIR  RollIIR  AzimuthIIR   PitchCFR  RollCF  AzimuthCF PitchCFR2  RollCF2  AzimuthCF2
   1.8    88.4430409491   -38.4587401822    29.8824831342     88.3673585469   -38.3420368037    30.0898277028     88.4428416018   -38.4181171585    29.9006316934     88.4328335312   -38.2754816921    30.0671074696     88.4413520751   -38.3126894538    30.0152313746
   1.8    88.4257785055   -38.5402762032    29.8961100891     88.3601794101   -38.4517516470    30.0762478414     88.4271592789   -38.5304913078    29.8963660538     88.4325895682   -38.2875211591    30.1479413305     88.4328385158   -38.4372936261    29.9877536133
   1.9    88.4271262162   -37.6300029513    30.5951565787     88.3574777432   -38.0656916704    30.2512766700     88.4271433506   -37.7029564022    30.5385093697     88.4316248673   -38.2535225718    29.9446825405     88.4293705671   -37.9927511069    30.2261342529
   1.9    88.4462079715   -38.8190029054    29.3052192133     88.3669063111   -38.4447280268    29.8178157546     88.4446862128   -38.7276073331    29.4061145639     88.4318276949   -38.2823129090    29.8993158157     88.4383829374   -38.4474353021    29.7138654432
   1.9    88.4300988934   -38.3418012005    29.6969765076     88.3632353636   -38.4089214318    29.7308332443     88.4312829325   -38.3727801602    29.6736814881     88.4312146689   -38.2858033793    29.7665855483     88.4335765773   -38.3895802701    29.6525364471
   2.0    88.4458308274   -38.8190029054    29.4903201254     88.3705152617   -38.6220387072    29.7816459246     88.4446555962   -38.7825364873    29.5054702668     88.4319603765   -38.3122780036    30.0252214441     88.4403236203   -38.6256749434    29.6789349241
   2.0    88.4037492735   -37.9182260115    30.6141780198     88.3523670252   -38.2941558722    30.2764882235     88.4070751645   -37.9865666441    30.5259206790     88.4310120474   -38.2927433026    30.1642354193     88.4204262061   -38.2366587914    30.2393982093
   2.1    88.4398599166   -38.2999329421    30.1112585497     88.3628358159   -38.3091501014    30.2148079193     88.4372064213   -38.2740640611    30.1452940209     88.4309717808   -38.2921531363    30.1349354717     88.4308856769   -38.2710099747    30.1576250538
   2.1    88.4218064910   -37.4758510917    30.9782201899     88.3588532461   -37.9156931919    30.6035235731     88.4230654368   -37.5399378409    30.9113367843     88.4302694443   -38.2505683764    30.1426996039     88.4257763781   -37.8333080569    30.5943933217
   2.1    88.4218708215   -39.0942604884    29.6375748672     88.3574425341   -38.4996262006    30.3334766379     88.4220107754   -38.9684436668    29.7407128849     88.4294166798   -38.2922387993    30.4516856033     88.4234214897   -38.5265898482    30.2102632868
   2.2    88.4092262361   -38.0721354492    30.5370445428     88.3502942138   -38.3049240992    30.3878603138     88.4102759294   -38.1441819779    30.4731210209     88.4278600903   -38.2813546527    30.3014120413     88.4153547515   -38.2766962138    30.3243368215
   2.2    88.4253964540   -38.5402762032    30.0085496836     88.3563132451   -38.4317139210    30.2249673223     88.4241743922   -38.5079066577    30.0464615735     88.4279904281   -38.2943192516    30.2689424126     88.4209977767   -38.4216739805    30.1430350927
   2.3    88.4541026609   -38.0552138005    30.4253686339     88.3746278589   -38.2609663405    30.3254133763     88.4516828871   -38.0925210974    30.3940451404     88.4293109650   -38.2821942394    30.2239371198     88.4392127142   -38.2200404997    30.2760192360
   2.3    88.4295273180   -38.3418012005    30.0813799781     88.3707338689   -38.3115381708    30.2045739047     88.4313237486   -38.3218633780    30.1064605317     88.4290775779   -38.2843976754    30.1496691830     88.4337696778   -38.2866410376    30.1405436862
   2.3    88.4216324101   -38.7376618776    30.1550443722     88.3650412247   -38.5308127446    30.4184929605     88.4224201546   -38.7041864999    30.1509881576     88.4283230717   -38.3069649326    30.5663260016     88.4269131176   -38.5346570376    30.3254608034
   2.4    88.4313998486   -38.6984899856    30.0240264065     88.3680638846   -38.6254671124    30.2019493819     88.4306725154   -38.6989538154    30.0342904885     88.4285419811   -38.3268066166    30.4343062432     88.4294111627   -38.6248910156    30.1150930266
   2.4    88.4187908989   -38.0291498009    30.6223861641     88.3628104356   -38.3480822302    30.3741572810     88.4197616108   -38.0830458528    30.5751268342     88.4272688094   -38.3118393456    30.3201859182     88.4231980815   -38.2971914210    30.3416581705
   2.5    88.4618823053   -37.6471882565    30.9168841621     88.3841896948   -38.0179101593    30.6395670737     88.4584733887   -37.6833844216    30.8883017735     88.4294414573   -38.2783953486    30.2959755775     88.4446837334   -37.9395894834    30.6353298331
