MkMagnettoSettings {rangeAcc = RA2, rangeGyro = RG125, cycleMag = CM200, frequencyAccAndGyro = FAG25, frequencyMag = FM600}
MkPortName {portName = "/dev/ttyUSB0"}
System Coordinate = Base (how as PNI)

Time         TimeStep MagX   MagY    MagZ   AccX   AccY   AccZ  GyroX  GyroY  GyroZ     Temp       Pitch   Roll  Azimuth
   3.7     0.0400490000    6.5460000000  -10.6260000000   37.7200000000    0.0305170000   -0.0316160000    1.0026850000    0.1450000000    0.0220000000    0.0760000000      30.1         -1.7424096046   -1.8060142405   60.2699737035 
   3.7     0.0400500000    6.6530000000  -10.5460000000   37.6000000000    0.0307610000   -0.0329580000    1.0036620000    0.1600000000    0.0450000000    0.0680000000      29.9         -1.7545501673   -1.8807885437   59.4686988886 
   3.8     0.0400500000    6.5860000000  -10.5730000000   37.7060000000    0.0308830000   -0.0312500000    1.0026850000    0.1670000000    0.0450000000    0.0760000000      29.9         -1.7633139028   -1.7851206729   60.0464415532 
   3.8     0.0400500000    6.5460000000  -10.6000000000   37.8000000000    0.0310050000   -0.0314940000    1.0026850000    0.1600000000    0.0300000000    0.0760000000      30.1         -1.7702618061   -1.7990497711   60.3037539818 
   3.8     0.0400500000    6.6530000000  -10.6000000000   37.5860000000    0.0305170000   -0.0314940000    1.0028070000    0.1750000000    0.0450000000    0.0910000000      30.1         -1.7422046254   -1.7988310452   59.7180728779 
   3.9     0.0400500000    6.6400000000  -10.5600000000   37.6400000000    0.0395500000   -0.0329580000    0.9954830000   -0.4420000000    1.3810000000   -0.1290000000      29.9         -2.2738891549   -1.8962300781   61.1490449305 
   3.9     0.0400500000    6.5330000000  -10.6130000000   37.7860000000    0.0356440000   -0.0753170000    1.0092770000   -6.0450000000   10.2290000000  -34.3050000000      29.8         -2.0170344923   -4.2677702795   56.3414801992 
   4.0     0.0400490000    6.7730000000  -10.4260000000   37.7600000000    0.0307610000   -0.0374750000    0.9892570000    0.9310000000   -6.0300000000  -26.7780000000      30.1         -1.7797657436   -2.1694394195   58.1444289728 
   4.0     0.0400500000    6.9060000000  -10.4930000000   37.5860000000   -0.0093990000    0.0063470000    1.0238030000   -6.0150000000    7.9080000000   -5.0000000000      30.1          0.5259777085    0.3551969020   55.9431519015 
   4.0     0.0400500000    6.9330000000  -10.4130000000   37.6800000000    0.0203850000   -0.0428460000    1.0036620000    4.8090000000   -8.2210000000    0.2360000000      29.9         -1.1624944728   -2.4444537346   55.0023026898 
   4.1     0.0400500000    6.9330000000  -10.4400000000   37.7860000000    0.0341790000   -0.0256340000    0.9975580000    0.3120000000   -1.0680000000    6.8320000000      30.1         -1.9616916488   -1.4719914667   59.2718996124 
   4.1     0.0400490000    7.1330000000  -10.2930000000   37.6260000000    0.0187980000    0.0095210000    1.0012200000    7.2670000000   -2.9840000000    6.9840000000      30.1         -1.0755586766    0.5448319793   58.8895333085 
   4.2     0.0400500000    6.9330000000  -10.2660000000   37.6660000000   -0.0030510000   -0.0357660000    1.0084220000    5.5410000000   -1.0610000000   15.8240000000      30.1          0.1732400182   -2.0312748349   51.7009630811 
   4.2     0.0400500000    6.9460000000  -10.1860000000   37.8530000000    0.0953360000   -0.0789790000    0.9923090000   -0.0070000000    4.0990000000   -3.2440000000      30.1         -5.4706485807   -4.5506432643   65.6247371592 
   4.2     0.0400490000    6.7200000000  -10.2130000000   37.8930000000    0.0476070000   -0.0465080000    0.9976800000   -6.3510000000   15.3050000000  -40.7550000000      29.9         -2.7289917921   -2.6689764538   59.9175926189 
   4.3     0.0400500000    7.2530000000   -9.7200000000   37.7600000000    0.0388180000   -0.0609130000    1.0135490000   -3.7700000000   12.2360000000 -103.3510000000      30.2         -2.1893575898   -3.4392664167   52.1203018382 
   4.3     0.0400490000    8.2660000000   -8.7060000000   37.8800000000    0.0352780000   -0.0566400000    1.0039060000   -2.0610000000   -0.7250000000 -125.0610000000      29.9         -2.0093949896   -3.2291829442   43.4730060080 
   4.4     0.0400500000    8.8660000000   -7.8400000000   38.1060000000   -0.0377190000   -0.0037840000    1.0052490000  -10.7780000000   24.4960000000 -125.0610000000      30.1          2.1488316310   -0.2156741321   36.7959121782 
   4.4     0.0400610000    9.4130000000   -6.9730000000   38.1200000000    0.0091550000   -0.0433340000    1.0003660000   -1.0830000000    6.0300000000 -125.0610000000      30.1         -0.5238450813   -2.4803962362   30.4013412416 
   4.4     0.0400380000   10.1860000000   -5.6930000000   38.0260000000   -0.0152580000   -0.0373530000    1.0045160000   -0.8390000000    5.0000000000 -125.0610000000      30.1          0.8696209333   -2.1295665222   21.6642639929 
   4.5     0.0400500000   10.6930000000   -4.4660000000   38.2000000000    0.0152580000   -0.0380850000    0.9984130000   -0.2670000000    5.0610000000 -125.0610000000      30.2         -0.8749042406   -2.1845191348   16.5679140583 
   4.5     0.0400500000   11.0400000000   -3.4930000000   38.3460000000   -0.0118400000   -0.0186760000    1.0089110000   -0.6640000000    4.8160000000 -107.0300000000      30.1          0.6722443394   -1.0604838107   13.6142195804 
   4.6     0.0400500000   11.3730000000   -2.3860000000   38.1860000000   -0.0159910000   -0.0585930000    0.9986570000   -1.2590000000    3.8620000000 -116.6790000000      30.1          0.9157959093   -3.3577968932    0.6947456999 
   4.6     0.0400490000   11.5060000000   -1.4930000000   38.2130000000   -0.0084220000   -0.0195310000    1.0054930000    1.4730000000    2.8470000000  -78.9080000000      30.1          0.4798071891   -1.1127906030    3.6317657134 
   4.6     0.0400500000   11.5200000000   -1.0930000000   38.3860000000    0.0052490000   -0.0404050000    1.0050040000    0.3810000000    1.6410000000  -38.0910000000      30.3         -0.2990038431   -2.3022693232  357.7239335595 
   4.7     0.0400500000   11.6000000000   -0.9330000000   38.4260000000    0.0174560000   -0.0330810000    1.0021970000    0.2510000000    0.8320000000  -24.7400000000      29.9         -0.9973186405   -1.8905601865  358.2432816505 
   4.7     0.0400500000   11.6000000000   -0.6800000000   38.2260000000   -0.0103750000   -0.0549310000    1.0023190000    0.8010000000   -0.9160000000  -13.4960000000      29.9          0.5921586723   -3.1368947184  353.2820235926 
   4.8     0.0400500000   11.6000000000   -0.6130000000   38.2930000000    0.0061030000   -0.0360100000    1.0037840000    0.3120000000   -0.0530000000   -0.2360000000      30.1         -0.3481297261   -2.0545621443  356.1737075907 
   4.8     0.0400500000   11.5860000000   -0.6400000000   38.4260000000    0.0064690000   -0.0366210000    1.0029290000    0.4730000000    0.0070000000    0.4190000000      30.1         -0.3693127109   -2.0911719383  356.1521788852 
   4.8     0.0400500000   11.6000000000   -0.6930000000   38.2130000000    0.0023190000   -0.0358880000    1.0041500000    0.6640000000   -0.2290000000    0.9690000000      29.8         -0.1322351240   -2.0468616382  356.6577052987 
   4.9     0.0400490000   11.6130000000   -0.7200000000   38.2400000000   -0.0059810000   -0.0305170000    1.0030510000    0.2440000000    0.3890000000   12.3660000000      30.1          0.3414816508   -1.7426393234  357.8563375580 
   4.9     0.0400500000   11.5600000000   -1.2400000000   38.3730000000   -0.0135490000   -0.0295410000    1.0034170000    0.4650000000   -2.1600000000   63.4730000000      30.1          0.7732749166   -1.6863237028    0.5229624558 
   5.0     0.0400500000   11.4000000000   -2.0660000000   38.4000000000   -0.0225830000   -0.0441890000    1.0064690000    0.3740000000   -3.5340000000   94.6790000000      30.0          1.2841417233   -2.5139554685    1.7739985473 
   5.0     0.0400500000   11.1730000000   -3.0930000000   38.0930000000    0.0140380000   -0.0528560000    1.0009760000    0.2290000000   -3.0070000000   94.2440000000      30.1         -0.8023635354   -3.0226655688    5.7976273586 
   5.0     0.0400500000   11.0530000000   -3.7330000000   38.1200000000    0.0179440000   -0.0349120000    1.0031730000    0.8700000000   -4.3740000000   76.4580000000      29.9         -1.0241344234   -1.9931789256   13.0591147301 
   5.1     0.0400500000   10.7730000000   -4.5600000000   38.2260000000    0.0006100000   -0.0506590000    1.0020750000    0.9460000000   -5.5800000000   99.8540000000      30.1         -0.0348335653   -2.8940727819   13.7185435971 
   5.1     0.0400500000   10.4260000000   -5.4930000000   37.9460000000    0.0018310000   -0.0275870000    1.0069580000    0.5340000000   -2.6410000000   83.8930000000      30.1         -0.1041444715   -1.5693041785   23.2599494571 
   5.2     0.0400490000    9.9860000000   -6.3860000000   37.9600000000   -0.0136710000   -0.0437010000    0.9990230000    1.3890000000   -4.6560000000  117.9310000000      29.9          0.7832587523   -2.5047347453   24.1945791833 
